"","Kabupaten","ILLITERATE","LOWEDU","NOELECTRIC","FHEAD","FEMALE","ELDERLY","FAMILYSIZE","CHILDREN","NOTRAINING","DPRONE","RENTED","NOSEWER","TAPWATER","kemiskinan","Geo.Laju.Pertumbuhan","UNEMPLOY","Population"
"491",9412,8.433722135,26.31171975,1.851215039,4.227800703,44.62600635,0.92787692,3.998452545,10.08624191,99.02949717,96.85732844,30.22313923,11.93833104,3.131208926,14.89,2.238906474,7.848294846,210413
"492",9413,13.2403437,29.46707352,8.377518558,12.00535804,46.13772364,0.926460314,3.674833957,7.555967316,100,100,5.302226935,34.89981582,8.567282469,19.9,2.433693129,4.190635344,66209
"493",9414,23.63753817,47.19871466,73.13453996,12.89636596,49.72681067,1.234646336,4.462927083,9.847522236,100,100,3.076414158,42.76735504,0,25.75,1.330496077,5.345142928,94671
"494",9415,37.2687856,55.41609863,18.70721156,11.35284976,49.09831802,0.397737125,3.875509261,10.76707994,100,99.74799446,0.155403419,60.25032551,0,27.16,2.647403689,0.165443077,92909
"495",9416,51.6448912,42.72211525,97.09951986,6.807071148,48.89622414,1.009580549,4.066237451,5.063467783,94.9301615,98.12309035,1.745962462,93.76691401,0,39.33,1.520272725,0,187021
"496",9417,38.73255444,26.53774996,65.76901292,14.05694866,48.08212072,0.285293074,3.772102363,9.919735729,100,100,4.737140209,19.84449822,0.211111683,30.6,1.289007046,2.390631905,73473
"497",9418,45.49933819,35.88269862,88.91697819,1.446897776,45.64980648,0.345101617,3.654949843,3.825550765,100,98.84624694,2.38818815,76.86846139,0,32.73,0.800403923,0.313437893,136576
"498",9419,12.30573322,31.84165765,18.10217317,7.247695984,46.50514298,1.567884671,4.325065423,9.102149265,95.03925361,61.09910115,16.67994084,20.57116851,0,13.75,1.87517278,7.140174883,38210
"499",9420,16.34375639,33.0106061,4.447517834,9.360896783,46.6330796,2.944344048,3.987698355,10.6839713,98.88630077,96.81176299,0.713349833,14.45625273,0.92444315,16.69,1.424528339,2.907096332,55018
"500",9426,14.66452083,31.51260504,6.965779468,13.04942966,48.43035556,2.562615164,4.457186312,10.94997611,100,86.61596958,7.437262357,9.946768061,0,30.82,2.073426672,1.720255787,29480
"501",9427,12.28354665,32.12919677,25.82035928,17.29341317,49.24538259,4.036939314,4.538922156,8.881266491,98.77844311,62.25149701,1.245508982,14.99401198,17.65269461,37.4,3.030723799,4.705080123,19104
"502",9428,29.39840517,38.31610789,56.14787582,8.129084967,49.05277402,2.160577357,4.528186275,10.62697339,100,61.72385621,0,79.12581699,0,29.88,2.026798784,5.351073128,22313
"503",9429,66.09921456,34.08768515,93.51265823,0.037475017,45.22408891,0,4.027523318,9.571465495,100,74.40456362,0,15.86858761,0,37.29,1.33822025,0.394165654,97012
"504",9430,42.78559993,27.3806277,96.91290675,3.953533149,46.41795448,0,3.771003145,3.256972338,100,100,0,52.0056479,0,39.6,1.823391267,0.439138552,176687
"505",9431,60.96156483,26.40977871,61.07330214,9.272649936,46.62209339,0.158686499,3.350560045,7.407485771,100,100,0.673472281,52.84985113,0,36.38,1.432431468,0,47487
"506",9432,44.599467,19.61809932,14.16861088,2.364587931,46.77427349,0,3.816697144,5.151249814,100,100,0.107194653,80.34554512,0,34.97,1.510765247,0.670724134,60822
"507",9433,52.83037985,30.66489427,84.86247355,10.68154132,47.6379201,0.917602298,3.437712381,7.962810996,100,100,2.782586395,87.10970058,0,37.46,2.075068082,0.616130351,107822
"508",9434,35.54200198,41.98947316,96.3904087,14.69173429,50.33625067,0.690448792,3.478169867,8.432132262,100,98.18969632,0,50.69584695,0,30.36,1.389105463,0.155343273,94997
"509",9435,66.07178136,25.48255266,88.93802252,3.288882747,49.7687789,0.664500271,3.316934982,5.105611799,100,95.34305258,0.089822428,59.60754508,0,42.23,2.341432964,0.681570338,48318
"510",9436,42.11565496,22.00510418,55.34298132,12.03010888,48.50720301,0,3.219006228,11.88113299,100,100,0.842331646,18.65226937,0,43.63,2.120946258,0.906766419,72206
"511",9471,4.524045937,27.82318052,0.119478918,13.65913821,46.38141023,1.977692828,3.757316478,8.74540966,96.85115239,90.83224132,31.0966366,2.547598859,67.0764922,11.46,2.275087766,9.381621282,293690
